player_id,Y,R,YR,fouls,fouled,offsides,crosses,interceptions,tklw,pens_won,pens_conceded,OG,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
5862,1,0,0,9,3,0,11,5,10,0,1,0,40,9,14,39.1
5863,1,0,0,18,15,4,14,1,3,0,0,0,28,23,25,47.9
5864,2,0,0,16,2,0,0,12,10,0,0,0,29,11,3,78.6
5865,0,0,0,8,0,0,1,8,6,0,0,0,36,6,13,31.6
5866,1,0,0,5,11,0,31,3,5,0,0,0,18,4,9,30.8
5867,0,0,0,0,1,0,3,0,1,0,0,0,7,0,1,0.0
5868,0,0,0,0,0,0,0,0,1,0,0,0,6,1,3,25.0
5869,4,0,0,0,5,0,0,2,1,0,0,0,36,5,0,100.0
5870,5,0,0,18,20,4,22,57,43,0,0,0,215,51,29,63.8
5871,4,0,0,28,27,3,70,26,36,0,0,0,115,39,36,52.0
5872,4,1,0,40,56,6,17,4,10,2,0,0,67,79,88,47.3
5873,3,1,0,12,2,0,1,24,11,0,1,0,118,55,36,60.4
5874,2,0,0,22,16,1,75,24,38,0,0,1,92,33,22,60.0
5875,3,0,0,15,10,0,8,30,20,0,0,0,185,19,15,55.9
5876,1,0,0,13,22,3,122,8,18,0,0,0,98,6,14,30.0
5877,4,0,0,10,4,3,2,21,7,0,0,0,102,55,25,68.8
5878,4,0,0,32,13,2,1,0,9,0,0,0,36,92,79,53.8
5879,2,0,0,31,31,4,26,6,11,0,0,0,54,13,38,25.5
5880,3,0,0,15,15,1,80,5,8,0,0,0,47,6,14,30.0
5881,3,0,0,18,6,5,13,12,14,0,0,0,48,2,9,18.2
5882,5,1,1,10,2,0,0,15,6,0,0,0,39,25,13,65.8
5883,2,0,0,8,4,0,38,3,6,0,0,0,34,6,9,40.0
5884,1,1,0,17,3,0,4,10,4,0,0,0,62,11,12,47.8
5885,1,0,0,8,6,0,15,5,11,0,0,0,31,6,7,46.2
5886,0,0,0,5,14,0,22,5,9,0,0,0,49,7,10,41.2
5887,1,0,0,7,3,0,18,7,17,0,0,0,47,8,4,66.7
5888,6,2,1,13,5,0,9,9,6,0,2,0,34,24,12,66.7
5889,2,0,0,18,11,2,1,0,8,0,0,0,11,33,55,37.5
5890,0,0,0,7,7,0,17,4,14,0,0,0,20,7,9,43.8
5891,1,0,0,7,3,0,0,10,4,0,0,0,31,2,4,33.3
5892,1,0,0,6,7,0,19,8,6,0,0,0,27,6,5,54.5
5893,1,1,0,4,2,1,26,1,6,0,0,0,18,2,3,40.0
5894,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0
5895,0,0,0,3,5,1,0,1,1,0,0,0,16,3,10,23.1
5896,1,0,0,0,2,0,0,0,1,0,0,0,4,3,1,75.0
5897,0,0,0,0,1,0,0,2,2,0,0,0,4,0,1,0.0
5898,0,0,0,0,2,0,1,0,0,0,0,0,1,1,1,50.0
5899,1,0,0,1,3,0,0,0,1,0,1,0,19,9,2,81.8
5900,6,0,0,30,9,2,5,31,36,0,0,0,179,47,55,46.1
5901,6,0,0,63,27,5,39,8,32,0,0,0,101,57,50,53.3
5902,3,0,0,15,9,1,0,26,17,0,1,1,138,65,57,53.3
5903,2,0,0,18,15,2,128,33,30,0,0,0,160,7,14,33.3
5904,5,0,0,27,20,1,2,22,28,0,0,0,147,51,34,60.0
5905,5,1,1,19,21,1,82,22,26,1,0,0,163,35,28,55.6
5906,4,0,0,6,22,26,3,5,4,1,0,0,28,12,19,38.7
5907,0,0,0,7,12,4,48,19,11,0,0,0,107,7,14,33.3
5908,2,1,1,8,6,0,9,17,10,0,0,0,61,25,19,56.8
5909,3,0,0,23,12,1,50,5,10,0,1,0,61,7,11,38.9
5910,5,0,0,20,11,0,2,17,15,0,0,0,85,27,15,64.3
5911,4,0,0,28,20,0,3,15,24,0,2,0,114,15,12,55.6
5912,3,1,0,15,5,0,4,18,9,0,0,0,48,15,5,75.0
5913,4,0,0,16,25,3,1,2,7,1,0,0,21,25,34,42.4
5914,5,0,0,13,6,0,1,12,20,0,1,0,56,12,8,60.0
5915,3,0,0,9,4,0,32,7,9,0,0,0,41,7,9,43.8
5916,1,0,0,4,15,1,5,1,1,0,0,0,25,0,8,0.0
5917,2,0,0,9,3,0,10,1,5,0,0,0,24,12,6,66.7
5918,0,0,0,7,20,2,6,3,7,0,0,0,37,6,6,50.0
5919,0,0,0,1,9,2,5,0,4,1,0,0,11,17,26,39.5
5920,1,0,0,5,1,0,12,7,2,0,0,0,18,4,5,44.4
5921,0,0,0,1,1,0,0,0,3,0,0,0,11,14,5,73.7
5922,1,0,0,4,5,2,5,1,8,0,0,0,18,4,2,66.7
5923,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0.0
5924,0,0,0,2,3,0,11,0,1,0,0,0,6,0,0,0.0
5925,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0
5926,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0
5927,4,0,0,2,6,0,0,0,1,0,2,0,37,5,0,100.0
5928,4,1,0,28,4,0,78,34,35,0,0,0,170,30,28,51.7
5929,4,0,0,12,11,0,2,25,29,0,0,1,185,24,17,58.5
5930,2,0,0,14,54,6,133,12,12,0,0,0,125,6,27,18.2
