Rk,Player,Unnamed: 2,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
16.0,Walter Benítez,,GK,Nice,fr Ligue 1,28.0,1993.0,37.0,35.0,4.0,1.0,1.0,0.0,42.6,0.27,7.6,0.21,145.0,378.0,38.4,774.0,169.0,30.2,30.5,260.0,55.4,43.0,503.0,31.0,6.2,33.0,0.89,13.6
17.0,Alessandro Berardi,,GK,Hellas Verona,it Serie A,30.0,1991.0,1.0,3.0,0.0,0.0,0.0,0.0,2.3,0.38,-0.7,-0.66,4.0,19.0,21.1,23.0,4.0,52.2,39.7,7.0,100.0,58.7,12.0,0.0,0.0,0.0,0.0,
18.0,Etrit Berisha,,GK,Torino,it Serie A,32.0,1989.0,10.0,8.0,2.0,0.0,0.0,0.0,10.2,0.18,2.2,0.22,53.0,188.0,28.2,240.0,37.0,50.0,39.4,78.0,87.2,58.6,148.0,7.0,4.7,10.0,1.0,14.6
19.0,Paul Bernardoni,,GK,Angers,fr Ligue 1,24.0,1997.0,13.0,19.0,3.0,2.0,6.0,0.0,15.9,0.28,-3.1,-0.24,46.0,111.0,41.4,241.0,86.0,27.0,31.8,98.0,46.9,39.0,192.0,21.0,10.9,14.0,1.08,12.5
20.0,Paul Bernardoni,,GK,Saint-Étienne,fr Ligue 1,24.0,1997.0,19.0,37.0,5.0,1.0,5.0,2.0,31.4,0.29,-3.6,-0.19,87.0,304.0,28.6,443.0,119.0,46.5,37.0,136.0,72.1,49.3,198.0,19.0,9.6,56.0,2.95,18.9
21.0,Dimitry Bertaud,,GK,Montpellier,fr Ligue 1,23.0,1998.0,9.3,20.0,2.0,1.0,1.0,0.0,16.0,0.25,-4.0,-0.43,46.0,129.0,35.7,226.0,55.0,38.5,33.8,86.0,48.8,38.5,128.0,8.0,6.3,4.0,0.43,11.7
22.0,Marco Bizot,,GK,Brest,fr Ligue 1,30.0,1991.0,38.0,57.0,4.0,0.0,8.0,2.0,51.0,0.28,-4.0,-0.1,290.0,624.0,46.5,877.0,205.0,43.1,37.4,328.0,75.0,53.1,541.0,16.0,3.0,34.0,0.89,14.1
23.0,Yassine Bounou,,GK,Sevilla,es La Liga,30.0,1991.0,31.0,24.0,2.0,2.0,6.0,0.0,26.6,0.24,2.6,0.09,152.0,378.0,40.2,829.0,116.0,30.2,33.1,241.0,53.1,41.2,420.0,27.0,6.4,24.0,0.77,12.8
24.0,Claudio Bravo,,GK,Betis,es La Liga,38.0,1983.0,16.2,19.0,1.0,0.0,1.0,2.0,18.6,0.31,1.6,0.1,109.0,272.0,40.1,405.0,53.0,51.9,39.9,99.0,62.6,47.9,251.0,6.0,2.4,9.0,0.56,11.0
25.0,Fabian Bredlow,,GK,Stuttgart,de Bundesliga,26.0,1995.0,4.0,7.0,0.0,0.0,3.0,0.0,6.7,0.28,-0.3,-0.07,10.0,22.0,45.5,92.0,22.0,20.7,26.8,37.0,8.1,19.6,67.0,2.0,3.0,4.0,1.0,17.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,Sascha Burchert,,GK,Greuther Fürth,de Bundesliga,31.0,1989.0,14.0,28.0,3.0,1.0,4.0,2.0,23.0,0.28,-3.0,-0.22,120.0,326.0,36.8,441.0,49.0,52.2,41.1,115.0,83.5,55.9,224.0,8.0,3.6,24.0,1.71,17.2
27.0,Roman Bürki,,GK,Dortmund,de Bundesliga,30.0,1990.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.01,0.0,7.0,0.0,20.0,3.0,30.0,28.1,3.0,33.3,34.3,5.0,0.0,0.0,5.0,5.0,27.3
28.0,Jack Butland,,GK,Crystal Palace,eng Premier League,28.0,1993.0,8.5,13.0,0.0,1.0,1.0,2.0,9.7,0.31,-1.3,-0.16,25.0,93.0,26.9,221.0,40.0,28.5,29.8,66.0,45.5,36.3,139.0,11.0,7.9,7.0,0.82,11.2
29.0,Marcin Bułka,,GK,Nice,fr Ligue 1,21.0,1999.0,1.0,1.0,0.0,0.0,0.0,0.0,1.7,0.35,0.7,0.73,1.0,3.0,33.3,17.0,6.0,11.8,19.2,7.0,14.3,24.9,14.0,1.0,7.1,1.0,1.0,22.5
30.0,Willy Caballero,,GK,Southampton,eng Premier League,39.0,1981.0,2.0,5.0,0.0,0.0,1.0,0.0,3.3,0.31,-1.7,-0.85,17.0,36.0,47.2,47.0,0.0,51.1,38.4,13.0,92.3,56.5,33.0,1.0,3.0,4.0,2.0,14.0
31.0,Marc-Aurèle Caillard,,GK,Metz,fr Ligue 1,27.0,1994.0,17.1,30.0,2.0,0.0,7.0,0.0,27.5,0.3,-2.5,-0.15,103.0,276.0,37.3,286.0,87.0,44.8,38.9,168.0,88.1,58.5,263.0,10.0,3.8,13.0,0.76,12.8
32.0,Dani Cárdenas,,GK,Levante,es La Liga,24.0,1997.0,24.0,46.0,4.0,1.0,5.0,0.0,41.5,0.31,-4.5,-0.19,92.0,296.0,31.1,525.0,85.0,41.9,36.6,198.0,38.4,35.7,332.0,10.0,3.0,26.0,1.08,15.6
33.0,Kiko Casilla,,GK,Elche,es La Liga,34.0,1986.0,14.0,17.0,0.0,0.0,1.0,0.0,17.2,0.29,0.2,0.01,75.0,218.0,34.4,348.0,77.0,42.5,36.4,136.0,51.5,40.8,217.0,8.0,3.7,15.0,1.07,15.2
34.0,Koen Casteels,,GK,Wolfsburg,de Bundesliga,29.0,1992.0,28.0,40.0,3.0,0.0,4.0,0.0,42.0,0.32,2.0,0.07,165.0,370.0,44.6,873.0,135.0,30.6,32.3,204.0,50.5,42.1,413.0,31.0,7.5,30.0,1.07,14.8
35.0,Jasper Cillessen,,GK,Valencia,es La Liga,32.0,1989.0,16.2,29.0,5.0,0.0,4.0,2.0,28.6,0.31,1.6,0.1,104.0,242.0,43.0,351.0,69.0,49.0,39.8,94.0,74.5,54.6,195.0,6.0,3.1,14.0,0.86,16.0
36.0,Diego Conde,,GK,Getafe,es La Liga,22.0,1998.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,6.0,0.0,4.0,0.0,100.0,61.0,2.0,100.0,68.0,5.0,1.0,20.0,0.0,0.0,5.0
37.0,Andrea Consigli,,GK,Sassuolo,it Serie A,34.0,1987.0,36.9,63.0,8.0,0.0,10.0,1.0,56.0,0.28,-6.0,-0.16,186.0,431.0,43.2,1219.0,174.0,29.0,30.9,246.0,31.7,28.8,491.0,21.0,4.3,30.0,0.81,13.4
38.0,Benoît Costil,,GK,Bordeaux,fr Ligue 1,34.0,1987.0,25.0,62.0,5.0,1.0,5.0,1.0,44.1,0.29,-16.9,-0.68,181.0,424.0,42.7,686.0,78.0,40.2,35.3,218.0,67.9,47.9,355.0,9.0,2.5,39.0,1.56,16.9
39.0,Thibaut Courtois,,GK,Real Madrid,es La Liga,29.0,1992.0,36.0,29.0,2.0,1.0,2.0,0.0,33.3,0.25,4.3,0.12,74.0,251.0,29.5,936.0,188.0,20.3,28.8,199.0,30.7,34.3,467.0,21.0,4.5,31.0,0.86,15.5
40.0,Alessio Cragno,,GK,Cagliari,it Serie A,27.0,1994.0,35.0,63.0,6.0,4.0,10.0,1.0,52.4,0.28,-9.6,-0.27,321.0,703.0,45.7,890.0,112.0,52.9,39.4,316.0,73.4,48.2,484.0,22.0,4.5,33.0,0.94,15.0
41.0,Finn Dahmen,,GK,Mainz 05,de Bundesliga,23.0,1998.0,2.0,3.0,1.0,0.0,0.0,0.0,2.1,0.24,-0.9,-0.43,3.0,14.0,21.4,59.0,9.0,16.9,25.8,20.0,20.0,31.2,27.0,2.0,7.4,2.0,1.0,14.4
42.0,Karl Darlow,,GK,Newcastle Utd,eng Premier League,30.0,1990.0,8.0,15.0,2.0,0.0,1.0,1.0,9.5,0.21,-4.5,-0.56,72.0,163.0,44.2,187.0,28.0,61.5,44.5,62.0,77.4,56.7,106.0,5.0,4.7,4.0,0.5,10.5
43.0,Arthur Desmas,,GK,Clermont Foot,fr Ligue 1,27.0,1994.0,14.5,33.0,3.0,0.0,3.0,1.0,22.3,0.3,-9.7,-0.67,32.0,133.0,24.1,302.0,53.0,28.8,30.2,112.0,41.1,33.8,159.0,5.0,3.1,4.0,0.28,10.6
44.0,Javier Díaz,,GK,Sevilla,es La Liga,24.0,1997.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.28,-0.4,-0.45,5.0,10.0,50.0,31.0,2.0,25.8,29.1,3.0,66.7,49.3,17.0,1.0,5.9,0.0,0.0,13.7
45.0,Stole Dimitrievski,,GK,Rayo Vallecano,es La Liga,27.0,1993.0,30.8,37.0,7.0,0.0,3.0,1.0,37.7,0.23,1.7,0.05,182.0,554.0,32.9,711.0,151.0,54.3,42.1,230.0,73.0,53.5,405.0,35.0,8.6,35.0,1.14,13.9
46.0,Matías Dituro,,GK,Celta Vigo,es La Liga,34.0,1987.0,38.0,43.0,4.0,0.0,1.0,2.0,43.3,0.27,2.3,0.06,303.0,804.0,37.7,1176.0,131.0,51.3,40.3,283.0,71.0,52.4,452.0,36.0,8.0,37.0,0.97,14.3
47.0,Ouparine Djoco,,GK,Clermont Foot,fr Ligue 1,23.0,1998.0,23.5,36.0,2.0,0.0,7.0,2.0,28.2,0.27,-5.8,-0.24,92.0,302.0,30.5,584.0,107.0,36.6,33.7,154.0,57.1,40.5,304.0,23.0,7.6,28.0,1.19,14.2
48.0,Marko Dmitrović,,GK,Sevilla,es La Liga,29.0,1992.0,6.0,5.0,0.0,0.0,0.0,0.0,4.1,0.21,-0.9,-0.16,24.0,58.0,41.4,191.0,27.0,24.6,30.5,33.0,33.3,35.8,66.0,4.0,6.1,12.0,2.0,17.5
49.0,Jaume Doménech,,GK,Valencia,es La Liga,30.0,1990.0,3.8,4.0,0.0,0.0,1.0,1.0,4.3,0.39,1.3,0.34,29.0,67.0,43.3,75.0,7.0,56.0,42.6,32.0,78.1,52.6,66.0,1.0,1.5,2.0,0.52,9.3
50.0,Gianluigi Donnarumma,,GK,Paris S-G,fr Ligue 1,22.0,1999.0,17.0,17.0,1.0,0.0,3.0,1.0,17.5,0.27,1.5,0.09,20.0,47.0,42.6,374.0,108.0,8.8,22.0,95.0,14.7,21.7,176.0,11.0,6.3,34.0,2.0,18.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,Bartłomiej Drągowski,,GK,Fiorentina,it Serie A,23.0,1997.0,6.2,8.0,1.0,0.0,1.0,0.0,8.1,0.24,0.1,0.02,43.0,97.0,44.3,304.0,23.0,26.3,30.8,39.0,43.6,40.2,61.0,2.0,3.3,20.0,3.24,22.3
52.0,Matthieu Dreyer,,GK,Lorient,fr Ligue 1,32.0,1989.0,16.0,25.0,1.0,0.0,1.0,0.0,19.3,0.32,-5.7,-0.36,67.0,203.0,33.0,282.0,46.0,38.3,36.3,133.0,71.4,48.9,223.0,5.0,2.2,10.0,0.63,15.4
53.0,Martin Dúbravka,,GK,Newcastle Utd,eng Premier League,32.0,1989.0,26.0,35.0,1.0,0.0,7.0,1.0,34.0,0.32,0.0,0.0,207.0,497.0,41.6,605.0,88.0,46.3,37.0,236.0,91.9,60.5,360.0,22.0,6.1,14.0,0.54,11.9
54.0,Ederson,,GK,Manchester City,eng Premier League,27.0,1993.0,37.0,26.0,1.0,0.0,1.0,0.0,25.7,0.3,-0.3,-0.01,87.0,182.0,47.8,988.0,165.0,15.7,25.7,138.0,19.6,26.8,300.0,21.0,7.0,55.0,1.49,19.0
55.0,Aarón Escandell,,GK,Granada,es La Liga,25.0,1995.0,3.2,6.0,2.0,0.0,0.0,0.0,4.2,0.14,-1.8,-0.57,35.0,88.0,39.8,91.0,13.0,64.8,44.0,37.0,78.4,51.2,41.0,3.0,7.3,10.0,3.17,16.1
